/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz"
"cpu_cores = 16"
"cpu_sockets = 2"
"cpu_cores_per_socket = 4"
"cpu_threads_per_core = 2"
"memory_size = 97605068"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = sda(INTEL SSDSCKJB48), nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     )"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,total -dD sda,nvme0n1,nvme1n1,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","26 Apr 2019 00:47:09 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/total",,"dsk/sda",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/loop0",,"tim/sda",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/loop0",,"qu/sda","qu/nvme0n1","qu/nvme1n1","qu/loop0","io/sda",,"io/nvme0n1",,"io/nvme1n1",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556264829.941,3.363,0.629,95.838,0.088,0.0,0.082,0.0,0.0,0.0,0.0,27610.790,1622964.284,934.518,154751.402,347.036,190387.382,0.168,0.0,29708.0,2043212.0,412.0,18560.0,96.0,24280.0,0.0,0.0,0.0,0.0,0.0,0.0,1.314,140.814,0.120,25.045,0.027,29.768,0.000,0.0,2314747904.0,614424576.0,6027321344.0,90991095808.0,0.0,0.0
1556264830.942,0.0,0.125,99.875,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2311487488.0,614424576.0,6027325440.0,90994352128.0,0.0,0.0
1556264831.942,0.062,0.188,99.750,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2311487488.0,614424576.0,6027325440.0,90994352128.0,0.0,0.0
1556264832.942,0.0,0.125,99.875,0.0,0.0,0.0,234.0,110.0,234.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2311467008.0,614424576.0,6027325440.0,90994372608.0,0.0,0.0
1556264833.942,0.062,0.125,99.750,0.062,0.0,0.0,168.0,102.0,168.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310914048.0,614424576.0,6027325440.0,90994925568.0,0.0,0.0
1556264834.942,0.0,0.063,99.937,0.0,0.0,0.0,270.0,204.0,270.0,204.0,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,2310787072.0,614424576.0,6027325440.0,90995052544.0,0.0,0.0
1556264835.942,0.062,0.187,99.750,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310627328.0,614424576.0,6027325440.0,90995212288.0,0.0,0.0
1556264836.942,0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310373376.0,614424576.0,6027325440.0,90995466240.0,0.0,0.0
1556264837.942,0.062,0.125,99.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310119424.0,614424576.0,6027325440.0,90995720192.0,0.0,0.0
1556264838.941,5.375,0.875,93.688,0.062,0.0,0.0,234.0,306.0,234.0,306.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2395234304.0,614424576.0,6054854656.0,90883076096.0,0.0,0.0
1556264839.942,6.798,6.480,86.468,0.0,0.0,0.254,1022.0,777.0,1022.0,1669.0,0.0,3145728.0,0.0,106496.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,26.0,0.0,0.0,0.0,0.0,2495250432.0,614424576.0,6055018496.0,90782896128.0,0.0,0.0
1556264840.941,3.697,0.877,95.175,0.188,0.0,0.063,66.0,212.0,66.0,2366.0,0.0,2519040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,2452791296.0,614424576.0,6055325696.0,90825048064.0,0.0,0.0
1556264841.941,11.371,8.907,78.964,0.316,0.0,0.442,1125.0,1178.0,1125.0,14766.0,0.0,4694016.0,0.0,7974912.0,0.0,16867328.0,0.0,0.0,0.0,48.0,0.0,32.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,469.0,0.0,606.0,0.0,0.0,2647793664.0,614424576.0,6079844352.0,90605527040.0,0.0,0.0
1556264842.942,12.484,3.262,83.563,0.125,0.0,0.565,507.0,364.0,507.0,4370.0,0.0,380928.0,0.0,55963648.0,8192.0,82149376.0,0.0,0.0,0.0,4.0,0.0,116.0,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1020.0,2.0,1439.0,0.0,0.0,2640941056.0,614432768.0,6040518656.0,90651697152.0,0.0,0.0
1556264843.942,2.385,0.565,96.987,0.063,0.0,0.0,927.0,456.0,927.0,9168.0,0.0,0.0,0.0,34996224.0,0.0,380928.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,0.0,2643808256.0,614432768.0,6026936320.0,90662412288.0,0.0,0.0
1556264844.942,0.313,0.313,99.312,0.063,0.0,0.0,618.0,304.0,618.0,3702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2643841024.0,614432768.0,6026936320.0,90662379520.0,0.0,0.0
1556264845.942,2.070,0.565,97.365,0.0,0.0,0.0,309.0,152.0,309.0,5472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2674438144.0,614432768.0,6026936320.0,90631782400.0,0.0,0.0
1556264846.941,7.456,1.754,90.789,0.0,0.0,0.0,264.0,730.0,15946.0,19051.0,0.0,315392.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,2622066688.0,614432768.0,6054510592.0,90656579584.0,0.0,0.0
1556264847.941,3.426,4.822,91.244,0.127,0.0,0.381,1434.0,1032.0,1850.0,1.84467440737e+19,0.0,1400832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,2502172672.0,614432768.0,6054105088.0,90776879104.0,0.0,0.0
1556264848.942,0.756,1.322,97.859,0.0,0.0,0.063,441.0,254.0,1.84467440737e+19,1.84467440737e+19,0.0,323584.0,0.0,114688.0,0.0,81920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,28.0,0.0,20.0,0.0,0.0,2486943744.0,614432768.0,6054043648.0,90792169472.0,0.0,0.0
