/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth0c3ed58 = 10000"
"netBandwidth.veth0c3ed58 = 12500000"
"netFullDuplex.veth0c3ed58 = full"
"netSpeed.veth321b2f7 = 10000"
"netBandwidth.veth321b2f7 = 12500000"
"netFullDuplex.veth321b2f7 = full"
"netSpeed.veth41cdbe1 = 10000"
"netBandwidth.veth41cdbe1 = 12500000"
"netFullDuplex.veth41cdbe1 = full"
"netSpeed.veth724521a = 10000"
"netBandwidth.veth724521a = 12500000"
"netFullDuplex.veth724521a = full"
"netSpeed.veth80bca4c = 10000"
"netBandwidth.veth80bca4c = 12500000"
"netFullDuplex.veth80bca4c = full"
"netSpeed.veth80d81e5 = 10000"
"netBandwidth.veth80d81e5 = 12500000"
"netFullDuplex.veth80d81e5 = full"
"netSpeed.vethb1ebb26 = 10000"
"netBandwidth.vethb1ebb26 = 12500000"
"netFullDuplex.vethb1ebb26 = full"
"netSpeed.vethb314235 = 10000"
"netBandwidth.vethb314235 = 12500000"
"netFullDuplex.vethb314235 = full"
"netSpeed.vethb6c5974 = 10000"
"netBandwidth.vethb6c5974 = 12500000"
"netFullDuplex.vethb6c5974 = full"
"netSpeed.vethbdea01c = 10000"
"netBandwidth.vethbdea01c = 12500000"
"netFullDuplex.vethbdea01c = full"
"netSpeed.vethc27c633 = 10000"
"netBandwidth.vethc27c633 = 12500000"
"netFullDuplex.vethc27c633 = full"
"netSpeed.vethd8412b4 = 10000"
"netBandwidth.vethd8412b4 = 12500000"
"netFullDuplex.vethd8412b4 = full"
"netSpeed.vethdcc2537 = 10000"
"netBandwidth.vethdcc2537 = 12500000"
"netFullDuplex.vethdcc2537 = full"
"netSpeed.vethf79e1db = 10000"
"netBandwidth.vethf79e1db = 12500000"
"netFullDuplex.vethf79e1db = full"
"netSpeed.vethffbfe21 = 10000"
"netBandwidth.vethffbfe21 = 12500000"
"netFullDuplex.vethffbfe21 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth0c3ed58,veth321b2f7,veth41cdbe1,veth724521a,veth80bca4c,veth80d81e5,vethb1ebb26,vethb314235,vethb6c5974,vethbdea01c,vethc27c633,vethd8412b4,vethdcc2537,vethf79e1db,vethffbfe21,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 03:52:01 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth0c3ed58",,"net/veth321b2f7",,"net/veth41cdbe1",,"net/veth724521a",,"net/veth80bca4c",,"net/veth80d81e5",,"net/vethb1ebb26",,"net/vethb314235",,"net/vethb6c5974",,"net/vethbdea01c",,"net/vethc27c633",,"net/vethd8412b4",,"net/vethdcc2537",,"net/vethf79e1db",,"net/vethffbfe21",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556189521.520,0.782,0.195,98.983,0.025,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.817,2339413.946,3.731,0.0,600.961,803733.783,0.002,0.0,848.0,3440180.0,8.0,0.0,62652.0,75590792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,19.605,0.000,0.0,0.044,37.217,0.000,0.0,8131096576.0,1667563520.0,10657091584.0,79491858432.0,0.347,7.243
1556189522.521,91.619,5.955,2.426,0.0,0.0,0.0,1611.0,760.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,202.0,0.0,107.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.0,6488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8280358912.0,1667563520.0,10690498560.0,79309189120.0,0.0,0.0
1556189523.521,79.981,6.801,13.218,0.0,0.0,0.0,309.0,152.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,107.0,0.0,0.0,309.0,2724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7719624704.0,1667563520.0,10737520640.0,79822901248.0,0.0,0.0
1556189524.521,43.756,4.280,51.805,0.096,0.0,0.064,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.0,0.0,0.0,0.0,0.0,0.0,16982016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,7566372864.0,1667563520.0,10769100800.0,79944572928.0,0.0,0.0
1556189525.521,19.737,2.440,77.510,0.188,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,0.0,32768.0,0.0,0.0,0.0,89718784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,163.0,0.0,0.0,8469323776.0,1667563520.0,10796494848.0,79014227968.0,0.0,0.0
1556189526.521,8.712,4.262,86.305,0.094,0.0,0.627,618.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,1.84467440737e+19,0.0,98304.0,0.0,0.0,0.0,4247552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,106.0,0.0,0.0,7382151168.0,1667563520.0,10713014272.0,80184881152.0,0.0,0.0
1556189527.521,10.706,4.751,84.384,0.032,0.0,0.127,927.0,456.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,1945600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,7498555392.0,1667563520.0,10655563776.0,80125927424.0,0.0,0.0
1556189528.520,14.749,4.482,80.737,0.032,0.0,0.0,309.0,152.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7492882432.0,1667563520.0,10688512000.0,80098652160.0,0.0,0.0
1556189529.521,10.167,5.305,84.370,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,3190784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,7422873600.0,1667563520.0,10789875712.0,80067297280.0,0.0,0.0
