/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth25ef036 = 10000"
"netBandwidth.veth25ef036 = 12500000"
"netFullDuplex.veth25ef036 = full"
"netSpeed.veth3cfd72a = 10000"
"netBandwidth.veth3cfd72a = 12500000"
"netFullDuplex.veth3cfd72a = full"
"netSpeed.veth43c2c0b = 10000"
"netBandwidth.veth43c2c0b = 12500000"
"netFullDuplex.veth43c2c0b = full"
"netSpeed.veth61d4493 = 10000"
"netBandwidth.veth61d4493 = 12500000"
"netFullDuplex.veth61d4493 = full"
"netSpeed.veth6cf8177 = 10000"
"netBandwidth.veth6cf8177 = 12500000"
"netFullDuplex.veth6cf8177 = full"
"netSpeed.veth780f7ba = 10000"
"netBandwidth.veth780f7ba = 12500000"
"netFullDuplex.veth780f7ba = full"
"netSpeed.veth81a41d2 = 10000"
"netBandwidth.veth81a41d2 = 12500000"
"netFullDuplex.veth81a41d2 = full"
"netSpeed.vethb01d35b = 10000"
"netBandwidth.vethb01d35b = 12500000"
"netFullDuplex.vethb01d35b = full"
"netSpeed.vethb182e81 = 10000"
"netBandwidth.vethb182e81 = 12500000"
"netFullDuplex.vethb182e81 = full"
"netSpeed.vethccae9ea = 10000"
"netBandwidth.vethccae9ea = 12500000"
"netFullDuplex.vethccae9ea = full"
"netSpeed.vethec3264c = 10000"
"netBandwidth.vethec3264c = 12500000"
"netFullDuplex.vethec3264c = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth25ef036,veth3cfd72a,veth43c2c0b,veth61d4493,veth6cf8177,veth780f7ba,veth81a41d2,vethb01d35b,vethb182e81,vethccae9ea,vethec3264c,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 10:40:01 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth25ef036",,"net/veth3cfd72a",,"net/veth43c2c0b",,"net/veth61d4493",,"net/veth6cf8177",,"net/veth780f7ba",,"net/veth81a41d2",,"net/vethb01d35b",,"net/vethb182e81",,"net/vethccae9ea",,"net/vethec3264c",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556214001.551,0.830,0.202,98.928,0.025,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.750,2463012.264,5.443,1058296.485,597.380,843997.385,0.002,0.0,848.0,4934300.0,40.0,341692.0,62656.0,78929828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,33.874,0.000,1.327,0.044,37.034,0.000,0.0,7057154048.0,1805344768.0,10680430592.0,80404680704.0,0.345,7.197
1556214002.552,6.201,3.923,89.687,0.032,0.0,0.158,1302.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,2494464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,7088701440.0,1805344768.0,10598539264.0,80455024640.0,0.0,0.0
1556214003.551,14.172,4.185,81.611,0.0,0.0,0.032,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,462848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7128055808.0,1805344768.0,10591854592.0,80422354944.0,0.0,0.0
1556214004.552,14.776,4.694,80.466,0.032,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7125753856.0,1805344768.0,10625724416.0,80390787072.0,0.0,0.0
1556214005.551,5.192,4.814,89.553,0.126,0.0,0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9629696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,7073054720.0,1805344768.0,10666782720.0,80402427904.0,0.0,0.0
1556214006.552,6.968,6.403,86.221,0.126,0.0,0.282,66.0,1960.0,0.0,129.0,5222.0,2523.0,0.0,129.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,129.0,0.0,129.0,9566.0,9179.0,0.0,28672.0,0.0,0.0,0.0,6144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,473.0,0.0,0.0,7167082496.0,1805344768.0,10615341056.0,80359841792.0,0.0,0.0
1556214007.551,3.066,1.314,95.463,0.063,0.0,0.094,42192.0,69342.0,10227.0,17879.0,4935.0,15482.0,46799.0,21455.0,4993.0,1743.0,0.0,0.0,0.0,0.0,0.0,0.0,35729.0,10098.0,0.0,0.0,0.0,126.0,10225.0,17942.0,228231.0,207267.0,0.0,180224.0,0.0,311296.0,0.0,1966080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,73.0,0.0,93.0,0.0,0.0,7157100544.0,1805344768.0,10615529472.0,80369635328.0,0.0,0.0
1556214008.552,7.622,5.386,86.646,0.031,0.0,0.315,1236.0,608.0,0.0,107.0,0.0,107.0,0.0,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,107.0,1236.0,5667.0,0.0,0.0,0.0,0.0,0.0,2887680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,7189721088.0,1805344768.0,10616045568.0,80336498688.0,0.0,0.0
1556214009.551,81.507,9.215,9.278,0.0,0.0,0.0,927.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,0.0,927.0,6618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8087412736.0,1805344768.0,10636156928.0,79418695680.0,0.0,0.0
