/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth055d58e = 10000"
"netBandwidth.veth055d58e = 12500000"
"netFullDuplex.veth055d58e = full"
"netSpeed.veth4b7cb34 = 10000"
"netBandwidth.veth4b7cb34 = 12500000"
"netFullDuplex.veth4b7cb34 = full"
"netSpeed.veth53069cd = 10000"
"netBandwidth.veth53069cd = 12500000"
"netFullDuplex.veth53069cd = full"
"netSpeed.veth7851a61 = 10000"
"netBandwidth.veth7851a61 = 12500000"
"netFullDuplex.veth7851a61 = full"
"netSpeed.veth824b048 = 10000"
"netBandwidth.veth824b048 = 12500000"
"netFullDuplex.veth824b048 = full"
"netSpeed.vethdd8a625 = 10000"
"netBandwidth.vethdd8a625 = 12500000"
"netFullDuplex.vethdd8a625 = full"
"netSpeed.vethf30bd02 = 10000"
"netBandwidth.vethf30bd02 = 12500000"
"netFullDuplex.vethf30bd02 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth055d58e,veth4b7cb34,veth53069cd,veth7851a61,veth824b048,vethdd8a625,vethf30bd02,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 10:11:18 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth055d58e",,"net/veth4b7cb34",,"net/veth53069cd",,"net/veth7851a61",,"net/veth824b048",,"net/vethdd8a625",,"net/vethf30bd02",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556212278.069,0.821,0.201,98.938,0.025,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.753,2456876.627,5.439,1042500.758,597.583,843469.194,0.002,0.0,848.0,4850544.0,36.0,244096.0,62656.0,78186656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,32.882,0.000,0.076,0.044,37.047,0.000,0.0,7143620608.0,1671577600.0,10613235712.0,80519176192.0,0.345,7.200
1556212279.070,5.823,4.501,89.455,0.094,0.0,0.126,18446.0,51116.0,0.0,0.0,4584.0,229.0,2061.0,3407.0,0.0,0.0,38503.0,7002.0,2063.0,3408.0,2063.0,3407.0,116238.0,90396.0,0.0,0.0,0.0,52428800.0,0.0,3936256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,376.0,0.0,0.0,7191437312.0,1671577600.0,10613571584.0,80471023616.0,0.0,0.0
1556212280.069,62.798,8.617,28.521,0.032,0.0,0.032,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,4323.0,0.0,0.0,0.0,52482048.0,0.0,499712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,16.0,0.0,0.0,8053768192.0,1671577600.0,10626400256.0,79595864064.0,0.0,0.0
1556212281.069,91.619,5.892,2.489,0.0,0.0,0.0,1236.0,608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1236.0,4143.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7986991104.0,1671577600.0,10663596032.0,79625445376.0,0.0,0.0
1556212282.070,80.083,6.532,13.353,0.032,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,3955.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7569403904.0,1671577600.0,10711932928.0,79994695680.0,0.0,0.0
1556212283.070,42.189,4.423,53.262,0.031,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624.0,0.0,0.0,0.0,52449280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,7337832448.0,1671585792.0,10740609024.0,80197582848.0,0.0,0.0
1556212284.070,16.584,2.712,80.330,0.062,0.0,0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,36864.0,0.0,52428800.0,0.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,400.0,0.0,4.0,0.0,0.0,8362840064.0,1671585792.0,10768007168.0,79145177088.0,0.0,0.0
1556212285.070,7.900,3.887,87.806,0.063,0.0,0.345,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2784.0,1.84467440737e+19,0.0,0.0,0.0,50331648.0,0.0,4042752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,115.0,0.0,0.0,7203209216.0,1671585792.0,10688098304.0,80384716800.0,0.0,0.0
1556212286.070,10.252,4.553,84.877,0.064,0.0,0.255,927.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84467440737e+19,1.84467440737e+19,0.0,0.0,0.0,52428800.0,0.0,1908736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,166.0,0.0,0.0,7450296320.0,1671585792.0,10626539520.0,80199188480.0,0.0,0.0
1556212287.069,14.861,3.963,81.112,0.032,0.0,0.032,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,362.0,0.0,0.0,0.0,52428800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,7424909312.0,1671585792.0,10658799616.0,80192315392.0,0.0,0.0
1556212288.070,9.946,5.052,84.844,0.095,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52453376.0,0.0,3670016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.0,0.0,156.0,0.0,0.0,7376969728.0,1671593984.0,10732298240.0,80166748160.0,0.0,0.0
