/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth0dd0907 = 10000"
"netBandwidth.veth0dd0907 = 12500000"
"netFullDuplex.veth0dd0907 = full"
"netSpeed.veth1054dea = 10000"
"netBandwidth.veth1054dea = 12500000"
"netFullDuplex.veth1054dea = full"
"netSpeed.veth1fdd3a3 = 10000"
"netBandwidth.veth1fdd3a3 = 12500000"
"netFullDuplex.veth1fdd3a3 = full"
"netSpeed.veth3b5195c = 10000"
"netBandwidth.veth3b5195c = 12500000"
"netFullDuplex.veth3b5195c = full"
"netSpeed.veth431deb5 = 10000"
"netBandwidth.veth431deb5 = 12500000"
"netFullDuplex.veth431deb5 = full"
"netSpeed.veth444c3c1 = 10000"
"netBandwidth.veth444c3c1 = 12500000"
"netFullDuplex.veth444c3c1 = full"
"netSpeed.veth7e0752f = 10000"
"netBandwidth.veth7e0752f = 12500000"
"netFullDuplex.veth7e0752f = full"
"netSpeed.veth857c02e = 10000"
"netBandwidth.veth857c02e = 12500000"
"netFullDuplex.veth857c02e = full"
"netSpeed.veth8661b53 = 10000"
"netBandwidth.veth8661b53 = 12500000"
"netFullDuplex.veth8661b53 = full"
"netSpeed.veth88176e2 = 10000"
"netBandwidth.veth88176e2 = 12500000"
"netFullDuplex.veth88176e2 = full"
"netSpeed.vethb5cc02b = 10000"
"netBandwidth.vethb5cc02b = 12500000"
"netFullDuplex.vethb5cc02b = full"
"netSpeed.vethb785b46 = 10000"
"netBandwidth.vethb785b46 = 12500000"
"netFullDuplex.vethb785b46 = full"
"netSpeed.vethd1af9e3 = 10000"
"netBandwidth.vethd1af9e3 = 12500000"
"netFullDuplex.vethd1af9e3 = full"
"netSpeed.vethd30c2f4 = 10000"
"netBandwidth.vethd30c2f4 = 12500000"
"netFullDuplex.vethd30c2f4 = full"
"netSpeed.vethfd4426a = 10000"
"netBandwidth.vethfd4426a = 12500000"
"netFullDuplex.vethfd4426a = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth0dd0907,veth1054dea,veth1fdd3a3,veth3b5195c,veth431deb5,veth444c3c1,veth7e0752f,veth857c02e,veth8661b53,veth88176e2,vethb5cc02b,vethb785b46,vethd1af9e3,vethd30c2f4,vethfd4426a,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 06:56:03 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth0dd0907",,"net/veth1054dea",,"net/veth1fdd3a3",,"net/veth3b5195c",,"net/veth431deb5",,"net/veth444c3c1",,"net/veth7e0752f",,"net/veth857c02e",,"net/veth8661b53",,"net/veth88176e2",,"net/vethb5cc02b",,"net/vethb785b46",,"net/vethd1af9e3",,"net/vethd30c2f4",,"net/vethfd4426a",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556200563.357,0.803,0.199,98.959,0.025,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.786,2400259.958,3.721,0.0,599.241,803186.348,0.002,0.0,848.0,4389204.0,8.0,0.0,62652.0,76752244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,27.922,0.000,0.0,0.044,37.120,0.000,0.0,7239319552.0,1668698112.0,10710237184.0,80329355264.0,0.346,7.222
1556200564.358,28.087,3.299,68.489,0.0,0.0,0.126,66.0,0.0,0.0,214.0,0.0,107.0,0.0,107.0,0.0,107.0,0.0,379.0,0.0,107.0,0.0,107.0,0.0,107.0,0.0,107.0,0.0,309.0,0.0,107.0,0.0,107.0,0.0,202.0,0.0,107.0,0.0,214.0,66.0,2495.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7636140032.0,1668698112.0,10726817792.0,79915954176.0,0.0,0.0
1556200565.358,13.192,2.595,83.870,0.063,0.0,0.281,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,272.0,0.0,107.0,0.0,107.0,0.0,0.0,0.0,1244.0,0.0,233472.0,0.0,0.0,0.0,2961408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,24.0,0.0,0.0,8179314688.0,1668698112.0,10827644928.0,79271952384.0,0.0,0.0
1556200566.358,5.686,4.461,89.538,0.0,0.0,0.314,1545.0,760.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,107.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,1990656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0,0.0,7194882048.0,1668698112.0,10647166976.0,80436862976.0,0.0,0.0
1556200567.358,14.181,4.886,80.901,0.032,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,70.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,576.0,0.0,0.0,0.0,0.0,0.0,954368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,7320825856.0,1668698112.0,10619957248.0,80338128896.0,0.0,0.0
1556200568.358,14.967,4.926,80.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7319461888.0,1668698112.0,10658295808.0,80301154304.0,0.0,0.0
1556200569.358,4.580,4.109,88.770,2.415,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99876864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25868.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,0.0,7228461056.0,1668698112.0,10733486080.0,80316964864.0,0.0,0.0
1556200570.358,6.595,6.250,86.369,0.597,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,21557248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,734.0,0.0,0.0,7396200448.0,1668698112.0,10647150592.0,80235560960.0,0.0,0.0
1556200571.358,4.048,2.322,93.473,0.031,0.0,0.126,22480.0,18805.0,2057.0,9000.0,0.0,0.0,7521.0,5922.0,7267.0,5667.0,0.0,168.0,7466.0,5824.0,0.0,168.0,7496.0,5705.0,0.0,168.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0,81310.0,88739.0,0.0,0.0,0.0,0.0,0.0,643072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,7289237504.0,1668698112.0,10647375872.0,80342298624.0,0.0,0.0
