/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"netSpeed.veth13de826 = 10000"
"netBandwidth.veth13de826 = 12500000"
"netFullDuplex.veth13de826 = full"
"netSpeed.veth38325a0 = 10000"
"netBandwidth.veth38325a0 = 12500000"
"netFullDuplex.veth38325a0 = full"
"netSpeed.veth42cc391 = 10000"
"netBandwidth.veth42cc391 = 12500000"
"netFullDuplex.veth42cc391 = full"
"netSpeed.veth612f114 = 10000"
"netBandwidth.veth612f114 = 12500000"
"netFullDuplex.veth612f114 = full"
"netSpeed.veth644385e = 10000"
"netBandwidth.veth644385e = 12500000"
"netFullDuplex.veth644385e = full"
"netSpeed.vethae0ebe9 = 10000"
"netBandwidth.vethae0ebe9 = 12500000"
"netFullDuplex.vethae0ebe9 = full"
"netSpeed.vethced9ff4 = 10000"
"netBandwidth.vethced9ff4 = 12500000"
"netFullDuplex.vethced9ff4 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5217 CPU @ 3.00GHz"
"cpu_cores = 32"
"cpu_sockets = 2"
"cpu_cores_per_socket = 8"
"cpu_threads_per_core = 2"
"memory_size = 97605088"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     ), sda(INTEL SSDSCKJB48)"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,veth13de826,veth38325a0,veth42cc391,veth612f114,veth644385e,vethae0ebe9,vethced9ff4,total -dD nvme0n1,nvme1n1,sda,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","25 Apr 2019 03:01:50 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/veth13de826",,"net/veth38325a0",,"net/veth42cc391",,"net/veth612f114",,"net/veth644385e",,"net/vethae0ebe9",,"net/vethced9ff4",,"net/total",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/sda",,"dsk/loop0",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/sda",,"tim/loop0",,"qu/nvme0n1","qu/nvme1n1","qu/sda","qu/loop0","io/nvme0n1",,"io/nvme1n1",,"io/sda",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556186510.269,0.776,0.194,98.991,0.025,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.801,2330502.187,3.734,0.0,601.422,803920.501,0.002,0.0,848.0,3290364.0,8.0,0.0,62652.0,75398904.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18.094,0.000,0.0,0.044,37.242,0.000,0.0,6972895232.0,1667272704.0,10589151232.0,80718290944.0,0.347,7.249
1556186511.270,5.877,4.274,89.629,0.031,0.0,0.189,18690.0,51331.0,0.0,0.0,4650.0,229.0,2063.0,3407.0,2062.0,3408.0,38500.0,6937.0,0.0,0.0,2062.0,3407.0,116594.0,91375.0,0.0,0.0,0.0,0.0,0.0,3821568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,7054364672.0,1667272704.0,10589622272.0,80636350464.0,0.0,0.0
1556186512.269,59.392,8.362,32.151,0.032,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3208.0,0.0,0.0,0.0,0.0,0.0,720896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,7867314176.0,1667272704.0,10602164224.0,79810859008.0,0.0,0.0
1556186513.270,91.512,6.311,2.177,0.0,0.0,0.0,1545.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545.0,5738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7821041664.0,1667272704.0,10639593472.0,79819702272.0,0.0,0.0
1556186514.270,81.172,6.244,12.584,0.0,0.0,0.0,309.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,2846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7271755776.0,1667272704.0,10688524288.0,80320057344.0,0.0,0.0
1556186515.270,44.588,4.102,51.246,0.0,0.0,0.063,260.0,260.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,1634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7167746048.0,1667272704.0,10716123136.0,80396468224.0,0.0,0.0
1556186516.270,17.643,2.820,79.411,0.0,0.0,0.125,780.0,3350.0,0.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,4064.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8154447872.0,1667272704.0,10735636480.0,79390253056.0,0.0,0.0
1556186517.270,8.166,3.379,88.016,0.063,0.0,0.375,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,3153920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,7002128384.0,1667272704.0,10659684352.0,80618524672.0,0.0,0.0
1556186518.270,9.269,4.429,86.080,0.063,0.0,0.158,1741.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1741.0,1.84467440737e+19,0.0,0.0,0.0,0.0,0.0,2797568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,7253061632.0,1667272704.0,10595987456.0,80431288320.0,0.0,0.0
